atmId,code_str,date,disbursement_amnt,money_fulfilled
3,S1A95015,2016-05-24,5640,97250
3,S1A95015,2016-05-25,4450,0
3,S1A95015,2016-05-26,6890,0
3,S1A95015,2016-05-27,9070,0
3,S1A95015,2016-05-30,20,0
3,S1A95015,2016-06-03,2740,0
3,S1A95015,2016-06-04,560,0
3,S1A95015,2016-06-05,400,0
3,S1A95015,2016-06-06,2720,0
3,S1A95015,2016-06-07,2340,0
3,S1A95015,2016-06-08,6070,0
3,S1A95015,2016-06-09,4990,0
3,S1A95015,2016-06-10,8840,0
3,S1A95015,2016-06-11,1100,0
3,S1A95015,2016-06-12,80,0
3,S1A95015,2016-06-13,9560,0
3,S1A95015,2016-06-14,5370,0
3,S1A95015,2016-06-15,7210,0
3,S1A95015,2016-06-16,9230,0
3,S1A95015,2016-06-17,6330,0
3,S1A95015,2016-06-22,2850,0
3,S1A95015,2016-06-23,5880,96700
3,S1A95015,2016-06-24,4880,0
3,S1A95015,2016-06-25,380,0
3,S1A95015,2016-06-26,40,0
3,S1A95015,2016-06-27,10240,0
3,S1A95015,2016-06-28,10430,0
3,S1A95015,2016-06-29,9600,0
3,S1A95015,2016-06-30,7180,0
3,S1A95015,2016-07-01,7390,0
3,S1A95015,2016-07-02,20,0
3,S1A95015,2016-07-03,290,0
3,S1A95015,2016-07-04,8740,0
3,S1A95015,2016-07-05,4310,0
3,S1A95015,2016-07-06,3410,0
3,S1A95015,2016-07-07,5290,0
3,S1A95015,2016-07-08,6460,0
3,S1A95015,2016-07-09,940,0
3,S1A95015,2016-07-10,160,0
3,S1A95015,2016-07-11,4510,0
3,S1A95015,2016-07-12,5510,0
3,S1A95015,2016-07-13,6290,96070
3,S1A95015,2016-07-14,5180,0
3,S1A95015,2016-07-15,5390,0
3,S1A95015,2016-07-16,370,0
3,S1A95015,2016-07-18,6180,0
3,S1A95015,2016-07-19,5050,0
3,S1A95015,2016-07-20,1000,0
3,S1A95015,2016-07-21,2340,0
3,S1A95015,2016-07-22,4590,0
3,S1A95015,2016-07-23,40,0
3,S1A95015,2016-07-24,720,0
3,S1A95015,2016-07-25,2850,0
3,S1A95015,2016-07-26,7400,0
3,S1A95015,2016-07-27,7300,0
3,S1A95015,2016-07-28,6890,0
3,S1A95015,2016-07-29,7380,0
3,S1A95015,2016-07-30,470,0
3,S1A95015,2016-07-31,170,0
3,S1A95015,2016-08-01,6150,0
3,S1A95015,2016-08-02,3290,0
3,S1A95015,2016-08-03,4070,0
3,S1A95015,2016-08-04,3160,0
3,S1A95015,2016-08-05,4040,0
3,S1A95015,2016-08-06,900,0
3,S1A95015,2016-08-07,50,0
3,S1A95015,2016-08-08,4180,0
3,S1A95015,2016-08-09,3940,0
3,S1A95015,2016-08-10,960,0
3,S1A95015,2016-08-11,2150,96210
3,S1A95015,2016-08-12,3130,0
3,S1A95015,2016-08-13,300,0
3,S1A95015,2016-08-14,100,0
3,S1A95015,2016-08-15,100,0
3,S1A95015,2016-08-16,700,0
3,S1A95015,2016-08-17,900,0
3,S1A95015,2016-08-18,850,0
3,S1A95015,2016-08-19,1710,0
3,S1A95015,2016-08-22,1670,0
3,S1A95015,2016-08-23,1260,0
3,S1A95015,2016-08-24,1790,0
3,S1A95015,2016-08-25,3790,0
3,S1A95015,2016-08-26,5490,0
3,S1A95015,2016-08-27,1150,0
3,S1A95015,2016-08-28,200,0
3,S1A95015,2016-08-29,3200,0
3,S1A95015,2016-08-30,4690,0
3,S1A95015,2016-08-31,5480,0
3,S1A95015,2016-09-01,6610,0
3,S1A95015,2016-09-02,5660,0
3,S1A95015,2016-09-03,220,0
3,S1A95015,2016-09-05,7380,0
3,S1A95015,2016-09-06,5170,0
3,S1A95015,2016-09-07,5500,0
3,S1A95015,2016-09-08,6200,0
3,S1A95015,2016-09-09,6810,0
3,S1A95015,2016-09-10,200,0
3,S1A95015,2016-09-11,100,0
3,S1A95015,2016-09-12,4650,0
3,S1A95015,2016-09-13,10540,95550
3,S1A95015,2016-09-14,6250,0
3,S1A95015,2016-09-15,7400,0
3,S1A95015,2016-09-16,9690,0
3,S1A95015,2016-09-17,1010,0
3,S1A95015,2016-09-18,40,0
3,S1A95015,2016-09-19,12110,0
3,S1A95015,2016-09-20,9470,0
3,S1A95015,2016-09-21,6700,0
3,S1A95015,2016-09-22,9090,0
3,S1A95015,2016-09-23,8270,0
3,S1A95015,2016-09-24,560,0
3,S1A95015,2016-09-25,460,0
3,S1A95015,2016-09-26,7080,0
3,S1A95015,2016-09-27,10040,0
3,S1A95015,2016-09-28,6350,94520
3,S1A95015,2016-09-29,9870,0
3,S1A95015,2016-09-30,10830,0
3,S1A95015,2016-10-01,230,0
3,S1A95015,2016-10-02,80,0
3,S1A95015,2016-10-03,2510,0
3,S1A95015,2016-10-04,10000,0
3,S1A95015,2016-10-05,9030,0
3,S1A95015,2016-10-06,3780,0
3,S1A95015,2016-10-10,990,0
3,S1A95015,2016-10-11,6960,0
3,S1A95015,2016-10-12,8380,0
3,S1A95015,2016-10-13,16040,0
3,S1A95015,2016-10-14,11370,0
3,S1A95015,2016-10-15,300,0
3,S1A95015,2016-10-16,700,0
3,S1A95015,2016-10-17,7140,98210
3,S1A95015,2016-10-18,8230,0
3,S1A95015,2016-10-19,6800,0
3,S1A95015,2016-10-20,9030,0
3,S1A95015,2016-10-21,4420,0
3,S1A95015,2016-10-22,360,0
3,S1A95015,2016-10-23,80,0
3,S1A95015,2016-10-24,8190,0
3,S1A95015,2016-10-25,9930,0
3,S1A95015,2016-10-26,8490,0
3,S1A95015,2016-10-27,13110,0
3,S1A95015,2016-10-28,500,0
3,S1A95015,2016-10-29,600,0
3,S1A95015,2016-10-30,60,0
3,S1A95015,2016-10-31,11860,0
3,S1A95015,2016-11-01,16190,97850
3,S1A95015,2016-11-02,8160,0
3,S1A95015,2016-11-03,9590,0
3,S1A95015,2016-11-04,7630,0
3,S1A95015,2016-11-05,270,0
3,S1A95015,2016-11-06,70,0
3,S1A95015,2016-11-07,8150,0
3,S1A95015,2016-11-08,10180,0
3,S1A95015,2016-11-09,13220,0
3,S1A95015,2016-11-10,6870,0
3,S1A95015,2016-11-11,12250,0
3,S1A95015,2016-11-12,850,0
3,S1A95015,2016-11-13,60,0
3,S1A95015,2016-11-14,9110,0
3,S1A95015,2016-11-15,7590,0
3,S1A95015,2016-11-16,5860,99860
3,S1A95015,2016-11-17,6670,0
3,S1A95015,2016-11-18,8980,0
3,S1A95015,2016-11-19,1510,0
3,S1A95015,2016-11-20,170,0
3,S1A95015,2016-11-21,7930,0
3,S1A95015,2016-11-22,5930,0
3,S1A95015,2016-11-23,10790,0
3,S1A95015,2016-11-24,7430,0
3,S1A95015,2016-11-25,12240,0
3,S1A95015,2016-11-26,1050,0
3,S1A95015,2016-11-27,300,0
3,S1A95015,2016-11-28,8960,0
3,S1A95015,2016-11-29,14770,0
3,S1A95015,2016-11-30,7670,94400
3,S1A95015,2016-12-01,11060,0
3,S1A95015,2016-12-02,8790,0
3,S1A95015,2016-12-03,440,0
3,S1A95015,2016-12-04,340,0
3,S1A95015,2016-12-05,8060,0
3,S1A95015,2016-12-06,6730,0
3,S1A95015,2016-12-07,4070,0
3,S1A95015,2016-12-08,2550,0
3,S1A95015,2016-12-09,8960,0
3,S1A95015,2016-12-10,40,0
3,S1A95015,2016-12-11,260,0
3,S1A95015,2016-12-12,7000,0
3,S1A95015,2016-12-13,10850,0
3,S1A95015,2016-12-14,11040,0
3,S1A95015,2016-12-15,10150,90340
3,S1A95015,2016-12-16,9730,0
3,S1A95015,2016-12-19,680,0
3,S1A95015,2016-12-20,9230,0
3,S1A95015,2016-12-21,8990,0
3,S1A95015,2016-12-22,10020,0
3,S1A95015,2016-12-23,10310,0
3,S1A95015,2016-12-24,970,0
3,S1A95015,2016-12-25,420,0
3,S1A95015,2016-12-26,150,0
3,S1A95015,2016-12-27,7730,0
3,S1A95015,2016-12-28,4560,0
3,S1A95015,2016-12-29,4830,0
3,S1A95015,2016-12-30,5720,0
3,S1A95015,2016-12-31,340,0
3,S1A95015,2017-01-02,1460,0
3,S1A95015,2017-01-03,4040,0
3,S1A95015,2017-01-04,2660,0
3,S1A95015,2017-01-05,4960,0
3,S1A95015,2017-01-07,20,0
3,S1A95015,2017-01-08,20,0
3,S1A95015,2017-01-09,7660,0
3,S1A95015,2017-01-10,4590,99090
3,S1A95015,2017-01-11,6650,0
3,S1A95015,2017-01-12,10910,0
3,S1A95015,2017-01-13,11480,0
3,S1A95015,2017-01-14,540,0
3,S1A95015,2017-01-15,360,0
3,S1A95015,2017-01-16,10190,0
3,S1A95015,2017-01-17,6920,0
3,S1A95015,2017-01-18,7610,0
3,S1A95015,2017-01-19,6880,0
3,S1A95015,2017-01-20,5490,0
3,S1A95015,2017-01-21,100,0
3,S1A95015,2017-01-22,860,0
3,S1A95015,2017-01-23,7690,0
3,S1A95015,2017-01-24,5750,0
3,S1A95015,2017-01-25,7580,89010
3,S1A95015,2017-01-26,12400,0
3,S1A95015,2017-01-27,11920,0
3,S1A95015,2017-01-28,100,0
3,S1A95015,2017-01-29,290,0
3,S1A95015,2017-01-30,8650,0
3,S1A95015,2017-01-31,8280,0
3,S1A95015,2017-02-01,6530,0
3,S1A95015,2017-02-02,9290,0
3,S1A95015,2017-02-03,4390,0
3,S1A95015,2017-02-04,720,0
3,S1A95015,2017-02-06,8460,0
3,S1A95015,2017-02-07,6190,0
3,S1A95015,2017-02-08,7860,0
3,S1A95015,2017-02-09,8450,93530
3,S1A95015,2017-02-10,7580,0
3,S1A95015,2017-02-11,810,0
3,S1A95015,2017-02-12,340,0
3,S1A95015,2017-02-13,10120,0
3,S1A95015,2017-02-14,7600,0
3,S1A95015,2017-02-15,7350,0
3,S1A95015,2017-02-16,8520,0
3,S1A95015,2017-02-17,6860,0
3,S1A95015,2017-02-18,450,0
3,S1A95015,2017-02-19,20,0
3,S1A95015,2017-02-20,6330,0
3,S1A95015,2017-02-21,7920,0
3,S1A95015,2017-02-22,7140,0
3,S1A95015,2017-02-23,10240,0
3,S1A95015,2017-02-24,12630,0
3,S1A95015,2017-02-25,920,94830
3,S1A95015,2017-02-28,10500,0
3,S1A95015,2017-03-01,7210,0
3,S1A95015,2017-03-02,8080,0
3,S1A95015,2017-03-03,9020,0
3,S1A95015,2017-03-04,320,0
3,S1A95015,2017-03-05,60,0
3,S1A95015,2017-03-06,8630,0
3,S1A95015,2017-03-07,6400,0
3,S1A95015,2017-03-08,6270,0
3,S1A95015,2017-03-09,7550,0
3,S1A95015,2017-03-10,10000,0
3,S1A95015,2017-03-11,160,0
3,S1A95015,2017-03-12,40,0
3,S1A95015,2017-03-13,8650,0
3,S1A95015,2017-03-14,9950,0
3,S1A95015,2017-03-15,6020,98860
3,S1A95015,2017-03-16,6110,0
3,S1A95015,2017-03-17,5560,0
3,S1A95015,2017-03-18,1330,0
3,S1A95015,2017-03-19,20,0
3,S1A95015,2017-03-20,5040,0
3,S1A95015,2017-03-21,3930,0
3,S1A95015,2017-03-22,3220,0
3,S1A95015,2017-03-23,5760,0
3,S1A95015,2017-03-24,10340,0
3,S1A95015,2017-03-25,760,0
3,S1A95015,2017-03-26,280,0
3,S1A95015,2017-03-27,7270,0
3,S1A95015,2017-03-28,8010,0
3,S1A95015,2017-03-29,6140,0
3,S1A95015,2017-03-30,5450,0
3,S1A95015,2017-03-31,7150,0
3,S1A95015,2017-04-03,150,0
3,S1A95015,2017-04-05,460,0
3,S1A95015,2017-04-06,7300,0
3,S1A95015,2017-04-07,6850,0
3,S1A95015,2017-04-08,740,0
3,S1A95015,2017-04-10,5290,97160
3,S1A95015,2017-04-11,4200,0
3,S1A95015,2017-04-12,7200,0
3,S1A95015,2017-04-13,4580,0
3,S1A95015,2017-04-14,90,0
3,S1A95015,2017-04-15,900,0
3,S1A95015,2017-04-16,50,0
3,S1A95015,2017-04-18,2450,0
3,S1A95015,2017-04-19,1530,0
3,S1A95015,2017-04-20,3760,0
3,S1A95015,2017-04-21,3220,0
3,S1A95015,2017-04-22,520,0
3,S1A95015,2017-04-23,120,0
3,S1A95015,2017-04-24,5770,0
3,S1A95015,2017-04-25,5330,0
3,S1A95015,2017-04-26,7680,0
3,S1A95015,2017-04-27,9820,0
3,S1A95015,2017-04-28,7720,0
3,S1A95015,2017-04-29,20,0
3,S1A95015,2017-04-30,710,0
3,S1A95015,2017-05-01,140,0
3,S1A95015,2017-05-02,8120,0
3,S1A95015,2017-05-03,9830,0
3,S1A95015,2017-05-04,9670,0
3,S1A95015,2017-05-05,2340,95770
3,S1A95015,2017-05-06,560,0
3,S1A95015,2017-05-07,360,0
3,S1A95015,2017-05-08,5730,0
3,S1A95015,2017-05-09,7310,0
3,S1A95015,2017-05-10,5790,0
3,S1A95015,2017-05-11,9270,0
3,S1A95015,2017-05-12,10760,0
3,S1A95015,2017-05-13,1020,0
3,S1A95015,2017-05-14,40,0
3,S1A95015,2017-05-15,6620,0
3,S1A95015,2017-05-16,6770,0
3,S1A95015,2017-05-17,4070,0
3,S1A95015,2017-05-18,3810,0
3,S1A95015,2017-05-19,5510,0
3,S1A95015,2017-05-20,470,0
3,S1A95015,2017-05-21,80,0
3,S1A95015,2017-05-22,4260,0
3,S1A95015,2017-05-23,5410,0
3,S1A95015,2017-05-24,6800,0
3,S1A95015,2017-05-25,6540,91180
3,S1A95015,2017-05-26,9540,0
3,S1A95015,2017-05-27,1670,0
3,S1A95015,2017-05-29,6990,0
3,S1A95015,2017-05-30,5940,0
3,S1A95015,2017-05-31,5980,0
3,S1A95015,2017-06-01,8010,0
3,S1A95015,2017-06-02,8200,0
3,S1A95015,2017-06-03,490,0
3,S1A95015,2017-06-04,40,0
3,S1A95015,2017-06-05,600,0
3,S1A95015,2017-06-06,8330,0
3,S1A95015,2017-06-07,7860,0
3,S1A95015,2017-06-08,7560,0
3,S1A95015,2017-06-09,6730,0
3,S1A95015,2017-06-10,160,0
3,S1A95015,2017-06-11,70,0
3,S1A95015,2017-06-12,6900,0
3,S1A95015,2017-06-13,11080,96150
3,S1A95015,2017-06-14,8800,0
3,S1A95015,2017-06-15,6190,0
